Koordinatensystem : Lambert konform konisch
Rechtswert        : 3909500 Meter
Hochwert          : 2599500 Meter
Hoehenlage        : 126 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3909500 2599500  1  1  1   2.9  980 162  2.6 7  3.9  82    0    0 287 -313  0
3909500 2599500  1  1  2   3.8  980 185  3.0 7  4.1  81    0    0 286 -312  0
3909500 2599500  1  1  3   4.4  980 218  3.5 7  4.3  81    0    0 282 -311  0
3909500 2599500  1  1  4   4.4  980 236  3.8 7  4.4  81    0    0 286 -312  0
3909500 2599500  1  1  5   4.2  981 261  4.0 7  4.3  80    0    0 286 -312  0
3909500 2599500  1  1  6   4.3  981 308  4.2 6  4.2  78    0    0 277 -312  0
3909500 2599500  1  1  7   3.5  982 309  3.8 7  3.9  75    0    0 277 -312  0
3909500 2599500  1  1  8   3.8  983 283  3.0 6  3.8  74    0    0 276 -311  0
3909500 2599500  1  1  9   3.5  984 299  3.9 6  3.7  73    0    8 270 -311  0
3909500 2599500  1  1 10   2.7  984 294  3.3 6  3.7  76    8   53 267 -311  0
3909500 2599500  1  1 11   3.8  986 277  4.8 6  3.8  77    0   55 268 -311  0
3909500 2599500  1  1 12   3.8  987 279  3.5 6  3.8  74    1   81 268 -313  0
3909500 2599500  1  1 13   4.5  987 255  4.7 5  3.7  70    3  107 265 -314  0
3909500 2599500  1  1 14   4.0  987 258  3.9 3  3.7  70   23  135 252 -315  0
3909500 2599500  1  1 15   3.3  987 239  4.5 3  3.7  74   19  104 244 -315  0
3909500 2599500  1  1 16   1.7  987 268  5.0 6  3.7  79    1   37 253 -314  0
3909500 2599500  1  1 17   1.9  987 288  6.3 5  3.8  85    0    6 259 -311  0
3909500 2599500  1  1 18   1.5  987 257  6.1 4  3.8  86    0    0 250 -309  0
3909500 2599500  1  1 19   1.5  988 245  5.3 4  3.7  84    0    0 245 -309  0
3909500 2599500  1  1 20   1.2  988 241  6.1 4  3.2  76    0    0 244 -308  0
3909500 2599500  1  1 21   1.5  988 251  6.4 4  3.0  69    0    0 244 -307  0
3909500 2599500  1  1 22   1.6  989 258  5.5 6  2.9  68    0    0 253 -306  0
3909500 2599500  1  1 23   1.1  989 238  5.1 6  2.9  68    0    0 262 -304  0
